CoCID,CoCName,y2015,15funding,perCap15,y2016,16funding,perCap16,pop15-16,fund15-16,y2017,17funding,perCap17,pop16-17,fund16-17,y2018,18funding,perCap18,pop17-18,fund17-18,y2019,19funding,perCap19,pop18-19,fund18-19,avgPop,avgFund
LA-509,Louisiana Balance of State CoC,907,13167485,14517.62404,797,14660729,18394.8921,-110,3877.26806,706,16272579,23048.97875,-91,4654.086658,575,18368336,31944.93217,-131,8895.95342,593,20125458,33938.37774,18,1993.445566,715.6,24368.96096
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1424,18215968,12792.11236,1156,17787724,15387.3045,-268,2595.192139,1145,17220390,15039.64192,-11,-347.6625769,783,20406399,26061.81226,-362,11022.17034,774,20784347,26853.1615,-9,791.3492382,1056.4,19226.80651
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",333,3380983,10153.1021,277,3405983,12295.96751,-56,2142.865407,226,3702413,16382.35841,-51,4086.390898,211,4253480,20158.67299,-15,3776.314579,222,5281409,23790.13063,11,3631.457645,253.8,16556.04633
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",86,1267042,14733.04651,119,1297889,10906.63025,33,-3826.41626,169,1253146,7415.065089,50,-3491.565163,96,1294337,13482.67708,-73,6067.611995,53,1432375,27025.9434,-43,13543.26631,104.6,14712.67247
CT-505,Connecticut Balance of State CoC,3134,27081272,8641.120613,3016,34391375,11402.9758,-118,2761.855183,2610,34305156,13143.73793,-406,1740.762135,3112,37553278,12067.24871,502,-1076.489216,2262,43687282,19313.5641,-850,7246.315388,2826.8,12913.72943
IL-514,DuPage County CoC,672,4406678,6557.556548,555,4411902,7949.372973,-117,1391.816425,331,4526372,13674.83988,-224,5725.466906,295,4880469,16543.96271,-36,2869.122833,309,5136314,16622.3754,14,78.41269267,432.4,12269.6215
GA-508,DeKalb County CoC,684,4651682,6800.704678,473,4781918,10109.76321,-211,3309.058535,460,4866729,10579.84565,-13,470.0824386,321,5144877,16027.65421,-139,5447.808553,375,5803531,15476.08267,54,-551.5715389,462.6,11798.81008
LA-503,New Orleans/Jefferson Parish CoC,1703,18367757,10785.52965,1626,18924229,11638.51722,-77,852.9875666,1301,18524402,14238.58724,-325,2600.07002,1188,21224142,17865.43939,-113,3626.852153,1179,22728831,19278.05852,-9,1412.61913,1399.4,14761.22641
NJ-501,Bergen County CoC,340,4213917,12393.87353,296,4787854,16175.18243,-44,3781.308903,302,4869363,16123.71854,6,-51.46388939,354,5363543,15151.25141,52,-972.4671306,271,5480285,20222.45387,-83,5071.202462,312.6,16013.29596
OH-504,Youngstown/Mahoning County CoC,368,1983615,5390.258152,346,1749421,5056.130058,-22,-334.1280944,262,1726847,6591.019084,-84,1534.889026,180,1919042,10661.34444,-82,4070.32536,148,1944838,13140.7973,-32,2479.452853,260.8,8167.909807
