Year,State,Continuum of Care (CoC),CoC Name,CoC Award Amount,,,,,,
2015,AK,Anchorage CoC,AK-500,2949710,,,,,,
2015,AK,Alaska Balance of State CoC,AK-501,762763,,,,,,
2015,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,8997707,,,,,,
2015,AL,Mobile City & County/Baldwin County CoC,AL-501,3953258,,,,,,
2015,AL,Huntsville/North Alabama CoC,AL-503,754922,,,,,,
2015,AL,Montgomery City & County CoC,AL-504,2112078,,,,,,
2015,AL,Gadsden/Northeast Alabama CoC,AL-505,0,,,,,,
2015,AL,Tuscaloosa City & County CoC,AL-506,232472,,,,,,
2015,AL,Alabama Balance of State CoC,AL-507,1045984,,,,,,
2015,AR,Little Rock/Central Arkansas CoC,AR-500,3359964,,,,,,
2015,AR,Fayetteville/Northwest Arkansas CoC,AR-501,394778,,,,,,
2015,AR,Arkansas  Balance of State  CoC,AR-503,397224,,,,,,
2015,AR,Southeast Arkansas,AR-505,292022,,,,,,
2015,AR,Old Fort Homeless Coalition,AR-508,0,,,,,,
2015,AR,"Boone, Baxter, Marion, Newton Counties CoC",AR-512,0,,,,,,
2015,AZ,Arizona Balance of State CoC,AZ-500,4010427,,,,,,
2015,AZ,Tucson/Pima County CoC,AZ-501,8428109,,,,,,
2015,AZ,Phoenix/Mesa/Maricopa County Regional CoC,AZ-502,26882333,,,,,,
2015,CA,San Jose/Santa Clara City & County CoC,CA-500,20204762,,,,,,
2015,CA,San Francisco CoC,CA-501,30968697,,,,,,
2015,CA,Oakland/Alameda County CoC,CA-502,28980863,,,,,,
2015,CA,Sacramento City & County CoC,CA-503,19138664,,,,,,
2015,CA,Santa Rosa/Petaluma/Sonoma County CoC,CA-504,3087262,,,,,,
2015,CA,Richmond/Contra Costa County CoC,CA-505,11104352,,,,,,
2015,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,1972200,,,,,,
2015,CA,Marin County CoC,CA-507,3264434,,,,,,
2015,CA,Watsonville/Santa Cruz City & County CoC,CA-508,2261790,,,,,,
2015,CA,Mendocino County CoC,CA-509,1776020,,,,,,
2015,CA,Turlock/Modesto/Stanislaus County CoC,CA-510,2963830,,,,,,
2015,CA,Stockton/San Joaquin County CoC,CA-511,4180278,,,,,,
2015,CA,Daly/San Mateo County CoC,CA-512,9455481,,,,,,
2015,CA,"Visalia, Kings, Tulare Counties CoC",CA-513,1923277,,,,,,
2015,CA,Fresno/Madera County CoC,CA-514,8737368,,,,,,
2015,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",CA-515,1256067,,,,,,
2015,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,317347,,,,,,
2015,CA,Napa City & County CoC,CA-517,712708,,,,,,
2015,CA,Vallejo/Solano County CoC,CA-518,1254088,,,,,,
2015,CA,Chico/Paradise/Butte County CoC,CA-519,533470,,,,,,
2015,CA,Merced City & County CoC,CA-520,659165,,,,,,
2015,CA,Davis/Woodland/Yolo County CoC,CA-521,474575,,,,,,
2015,CA,Humboldt County CoC,CA-522,819897,,,,,,
2015,CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,**,,,,,,
2015,CA,Yuba City & County/Sutter County CoC,CA-524,2490,,,,,,
2015,CA,El Dorado County CoC,CA-525,10556,,,,,,
2015,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",CA-526,313840,,,,,,
2015,CA,Tehama County CoC,CA-527,5629,,,,,,
2015,CA,Lake County CoC,CA-529,**,,,,,,
2015,CA,"Inyo, Mono, Alpine Counties CoC",CA-530,0,,,,,,
2015,CA,Los Angeles City & County CoC,CA-600,100267671,,,,,,
2015,CA,San Diego City and County CoC,CA-601,17859969,,,,,,
2015,CA,Santa Ana/Anaheim/Orange County CoC,CA-602,22025895,,,,,,
2015,CA,Santa Maria/Santa Barbara County CoC,CA-603,1607635,,,,,,
2015,CA,Bakersfield/Kern County CoC,CA-604,4790096,,,,,,
2015,CA,Long Beach CoC,CA-606,7533708,,,,,,
2015,CA,Pasadena CoC,CA-607,3112977,,,,,,
2015,CA,Riverside City & County CoC,CA-608,9289429,,,,,,
2015,CA,San Bernardino City & County CoC,CA-609,9366053,,,,,,
2015,CA,Oxnard/San Buenaventura/Ventura County CoC,CA-611,1970367,,,,,,
2015,CA,Glendale CoC,CA-612,2319804,,,,,,
2015,CA,Imperial County CoC,CA-613,191131,,,,,,
2015,CA,San Luis Obispo County CoC,CA-614,935156,,,,,,
2015,CA,"Inyo, Mono, Alpine Counties CoC",CA-615,2862,,,,,,
2015,CO,Colorado Balance of State CoC,CO-500,2874257,,,,,,
2015,CO,Metropolitan Denver Homeless Initiative,CO-503,24388048,,,,,,
2015,CO,Colorado Springs/El Paso County CoC,CO-504,2452453,,,,,,
2015,CT,Hartford CoC,CT-502,6411420,,,,,,
2015,CT,Bridgeport/Norwalk /Stamford/Fairfield County CoC,CT-503,10169085,,,,,,
2015,CT,Connecticut Balance of State CoC,CT-505,27081272,,,,,,
2015,DC,District of Columbia CoC,DC-500,23888687,,,,,,
2015,DE,Delaware Statewide CoC,DE-500,7785779,,,,,,
2015,FL,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",FL-500,1113950,,,,,,
2015,FL,Tampa/Hillsborough County CoC,FL-501,6240062,,,,,,
2015,FL,St. Petersburg/Clearwater/Largo/Pinellas County CoC,FL-502,4036255,,,,,,
2015,FL,Lakeland/Winter Haven/Polk County CoC,FL-503,1614059,,,,,,
2015,FL,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",FL-504,1090050,,,,,,
2015,FL,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,576097,,,,,,
2015,FL,Tallahassee/Leon County CoC,FL-506,1341674,,,,,,
2015,FL,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,7444936,,,,,,
2015,FL,"Gainesville/Alachua, Putnam Counties CoC",FL-508,587341,,,,,,
2015,FL,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,1514817,,,,,,
2015,FL,"Jacksonville-Duval, Clay Counties CoC",FL-510,4597556,,,,,,
2015,FL,Pensacola/Escambia/Santa Rosa County CoC,FL-511,836821,,,,,,
2015,FL,Saint Johns County CoC,FL-512,139559,,,,,,
2015,FL,Palm Bay/Melbourne/Brevard County CoC,FL-513,719252,,,,,,
2015,FL,Ocala/Marion County CoC,FL-514,243373,,,,,,
2015,FL,"Panama City/Bay, Jackson Counties CoC",FL-515,42952,,,,,,
2015,FL,"Hendry, Hardee, Highlands Counties CoC",FL-517,190199,,,,,,
2015,FL,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",FL-518,357005,,,,,,
2015,FL,Pasco County CoC,FL-519,763038,,,,,,
2015,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",FL-520,396759,,,,,,
2015,FL,Miami/Dade County CoC,FL-600,29730926,,,,,,
2015,FL,Ft Lauderdale/Broward County CoC,FL-601,10376919,,,,,,
2015,FL,Punta Gorda/Charlotte County CoC,FL-602,188639,,,,,,
2015,FL,Ft Myers/Cape Coral/Lee County CoC,FL-603,1762276,,,,,,
2015,FL,Monroe County CoC,FL-604,448854,,,,,,
2015,FL,West Palm Beach/Palm Beach County CoC,FL-605,5682950,,,,,,
2015,FL,Naples/Collier County CoC,FL-606,270198,,,,,,
2015,GA,Atlanta Continuum of Care,GA-500,6921341,,,,,,
2015,GA,Georgia Balance of State CoC,GA-501,15845827,,,,,,
2015,GA,Fulton County Continuum of Care,GA-502,2795919,,,,,,
2015,GA,Athens/Clarke County CoC,GA-503,696892,,,,,,
2015,GA,Augusta CoC,GA-504,604090,,,,,,
2015,GA,Columbus-Muscogee/Russell County CoC,GA-505,1333949,,,,,,
2015,GA,Marietta/Cobb County CoC,GA-506,2200358,,,,,,
2015,GA,Savannah/Chatham County CoC,GA-507,3588586,,,,,,
2015,GA,DeKalb County Continuum of Care,GA-508,4651682,,,,,,
2015,GU,Guam CoC,GU-500,1122558,,,,,,
2015,HI,Hawaii Balance of State CoC,HI-500,2100869,,,,,,
2015,HI,Honolulu CoC,HI-501,9265576,,,,,,
2015,IA,"Sioux City/Dakota, Woodbury Counties CoC",IA-500,715112,,,,,,
2015,IA,Iowa Balance of State CoC,IA-501,4584927,,,,,,
2015,IA,Des Moines/Polk County CoC,IA-502,3127223,,,,,,
2015,ID,Boise/Ada County CoC,ID-500,933085,,,,,,
2015,ID,Idaho Balance of State,ID-501,2780683,,,,,,
2015,IL,McHenry County CoC,IL-500,930933,,,,,,
2015,IL,"Rockford/Winnebago, Boone Counties CoC",IL-501,1470693,,,,,,
2015,IL,Waukegan/North Chicago/Lake County CoC,IL-502,2105513,,,,,,
2015,IL,Champaign/Urbana/Rantoul/Champaign County CoC,IL-503,748586,,,,,,
2015,IL,Madison County CoC,IL-504,1832242,,,,,,
2015,IL,Joliet/Bolingbrook/Will County CoC,IL-506,3519280,,,,,,
2015,IL,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",IL-507,1786354,,,,,,
2015,IL,East Saint Louis/Belleville/Saint Clair County CoC,IL-508,3191970,,,,,,
2015,IL,Dekalb City & County CoC,IL-509,611360,,,,,,
2015,IL,Chicago CoC,IL-510,63499383,,,,,,
2015,IL,Cook County CoC,IL-511,11372915,,,,,,
2015,IL,Bloomington/Central Illinois CoC,IL-512,1093888,,,,,,
2015,IL,Springfield/Sangamon County CoC,IL-513,445540,,,,,,
2015,IL,DuPage County CoC,IL-514,4406678,,,,,,
2015,IL,South Central Illinois CoC,IL-515,905114,,,,,,
2015,IL,Decatur/Macon County CoC,IL-516,794780,,,,,,
2015,IL,Aurora/Elgin/Kane County CoC,IL-517,1621013,,,,,,
2015,IL,Rock Island/Moline/Northwestern Illinois CoC,IL-518,858536,,,,,,
2015,IL,West Central Illinois CoC,IL-519,650720,,,,,,
2015,IL,Southern Illinois CoC,IL-520,891318,,,,,,
2015,IN,South Bend/Mishawaka/St. Joseph County CoC,IN-500,1435007,,,,,,
2015,IN,Indiana Balance of State CoC,IN-502,10496669,,,,,,
2015,IN,Indianapolis CoC,IN-503,4404410,,,,,,
2015,KS,Wichita/Sedgwick County CoC,KS-502,2138663,,,,,,
2015,KS,Topeka/Shawnee County CoC,KS-503,1867911,,,,,,
2015,KS,Overland Park/Shawnee/Johnson County CoC,KS-505,675358,,,,,,
2015,KS,Kansas Balance of State CoC,KS-507,2539223,,,,,,
2015,KY,Kentucky Balance of State CoC,KY-500,7981008,,,,,,
2015,KY,Louisville/Jefferson County CoC,KY-501,9064742,,,,,,
2015,KY,Lexington/Fayette County CoC,KY-502,1589681,,,,,,
2015,LA,Lafayette/Acadiana CoC,LA-500,2474843,,,,,,
2015,LA,Shreveport/Bossier/Northwest CoC,LA-502,3890343,,,,,,
2015,LA,New Orleans/Jefferson Parish CoC,LA-503,18367757,,,,,,
2015,LA,Monroe/Northeast Louisiana CoC,LA-505,1617421,,,,,,
2015,LA,Slidell/Southeast Louisiana CoC,LA-506,2291529,,,,,,
2015,LA,Alexandria/Central Louisiana CoC,LA-507,704860,,,,,,
2015,LA,Houma-Terrebonne/Thibodaux CoC,LA-508,1067678,,,,,,
2015,LA,Louisiana Balance of State (BoS),LA-509,13167485,,,,,,
2015,MA,Boston CoC,MA-500,23987809,,,,,,
2015,MA,Lynn CoC,MA-502,1784969,,,,,,
2015,MA,Cape Cod/Islands CoC,MA-503,1932912,,,,,,
2015,MA,Springfield CoC,MA-504,3230835,,,,,,
2015,MA,New Bedford CoC,MA-505,1688210,,,,,,
2015,MA,Worcester City & County CoC,MA-506,6595065,,,,,,
2015,MA,Pittsfield/Berkshire County CoC,MA-507,1797223,,,,,,
2015,MA,Lowell CoC,MA-508,808792,,,,,,
2015,MA,Cambridge CoC,MA-509,4164930,,,,,,
2015,MA,Gloucester/Haverhill/Salem/Essex County CoC,MA-510,1724266,,,,,,
2015,MA,Quincy/Brockton/Weymouth/Plymouth City and County CoC,MA-511,5453087,,,,,,
2015,MA,Fall River CoC,MA-515,1749357,,,,,,
2015,MA,Massachusetts Balance of State,MA-516,11715812,,,,,,
2015,MA,Somerville CoC,MA-517,1925107,,,,,,
2015,MA,Attleboro/Taunton/Bristol County CoC,MA-519,819144,,,,,,
2015,MD,Cumberland/Allegany County CoC,MD-500,699622,,,,,,
2015,MD,Baltimore City CoC,MD-501,20113771,,,,,,
2015,MD,Harford County CoC,MD-502,927130,,,,,,
2015,MD,Annapolis/Anne Arundel County CoC,MD-503,2175878,,,,,,
2015,MD,Howard County CoC,MD-504,789594,,,,,,
2015,MD,Baltimore County CoC,MD-505,2766391,,,,,,
2015,MD,Carroll County CoC,MD-506,390079,,,,,,
2015,MD,Cecil County CoC,MD-507,244476,,,,,,
2015,MD,"Charles, Calvert, St.Mary's Counties CoC",MD-508,2521547,,,,,,
2015,MD,Frederick City & County CoC,MD-509,569765,,,,,,
2015,MD,Garrett County CoC,MD-510,255878,,,,,,
2015,MD,Mid-Shore Regional CoC,MD-511,723480,,,,,,
2015,MD,Hagerstown/Washington County CoC,MD-512,503819,,,,,,
2015,MD,Wicomico/Somerset/Worcester County CoC,MD-513,1203629,,,,,,
2015,MD,Prince George`s County/Maryland CoC,MD-600,4944748,,,,,,
2015,MD,Montgomery County CoC,MD-601,8202360,,,,,,
2015,ME,Maine Balance of State CoC,ME-500,11977853,,,,,,
2015,MI,Michigan Balance of State CoC,MI-500,8790201,,,,,,
2015,MI,Detroit CoC,MI-501,26130090,,,,,,
2015,MI,Dearborn/Dearborn Heights/Westland/Wayne County CoC,MI-502,3380983,,,,,,
2015,MI,St. Clair Shores/Warren/Macomb County CoC,MI-503,1197681,,,,,,
2015,MI,Pontiac/Royal Oak/Oakland County CoC,MI-504,5793784,,,,,,
2015,MI,Flint/Genesee County CoC,MI-505,2294131,,,,,,
2015,MI,Grand Rapids/Wyoming/Kent County CoC,MI-506,5503523,,,,,,
2015,MI,Portage/Kalamazoo City & County CoC,MI-507,1777855,,,,,,
2015,MI,Lansing/East Lansing/Ingham County CoC,MI-508,2566614,,,,,,
2015,MI,Ann Arbor/Washtenaw County CoC,MI-509,5708538,,,,,,
2015,MI,Saginaw City & County CoC,MI-510,1806174,,,,,,
2015,MI,Lenawee County CoC,MI-511,108386,,,,,,
2015,MI,"Grand Traverse, Antrim, Leelanau Counties CoC",MI-512,670841,,,,,,
2015,MI,"Marquette, Alger Counties CoC",MI-513,194878,,,,,,
2015,MI,Battle Creek/Calhoun County CoC,MI-514,326673,,,,,,
2015,MI,Monroe City & County CoC,MI-515,139126,,,,,,
2015,MI,Norton Shores/Muskegon City & County CoC,MI-516,577163,,,,,,
2015,MI,Jackson City & County CoC,MI-517,905738,,,,,,
2015,MI,Livingston County CoC,MI-518,219545,,,,,,
2015,MI,Holland/Ottawa County CoC,MI-519,1017124,,,,,,
2015,MI,Eaton County CoC,MI-523,895163,,,,,,
2015,MN,Minneapolis/Hennepin County CoC,MN-500,11815635,,,,,,
2015,MN,Saint Paul/Ramsey County CoC,MN-501,6964024,,,,,,
2015,MN,Rochester/Southeast Minnesota CoC,MN-502,1929728,,,,,,
2015,MN,"Dakota, Anoka, Washington, Scott, Carver Counties ",MN-503,3758883,,,,,,
2015,MN,Northeast Minnesota CoC,MN-504,442121,,,,,,
2015,MN,St. Cloud/Central Minnesota CoC,MN-505,1373986,,,,,,
2015,MN,Northwest Minnesota CoC,MN-506,673035,,,,,,
2015,MN,Moorhead/West Central Minnesota CoC,MN-508,862869,,,,,,
2015,MN,Duluth/St.Louis County CoC,MN-509,3271748,,,,,,
2015,MN,Southwest Minnesota CoC,MN-511,984023,,,,,,
2015,MO,St. Louis County CoC,MO-500,1598248,,,,,,
2015,MO,St.Louis City CoC,MO-501,10819284,,,,,,
2015,MO,"St. Charles, Lincoln, Warren Counties CoC",MO-503,292226,,,,,,
2015,MO,"Springfield/Greene, Christian, Webster Counties CoC",MO-600,865457,,,,,,
2015,MO,"Joplin/Jasper, Newton Counties CoC",MO-602,533918,,,,,,
2015,MO,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,1257604,,,,,,
2015,KS,Kansas City/Wyandotte County CoC,MO-604K,13109891,,,,,,
2015,MO,Kansas City/Independence/Lee's Summit/Jackson County CoC,MO-604M,*,,,,,,
2015,MO,Missouri Balance of State CoC,MO-606,4553354,,,,,,
2015,MP,Northern Mariana Islands CoC,MP-500,0,,,,,,
2015,MS,"Jackson/Rankin, Madison Counties CoC",MS-500,1375970,,,,,,
2015,MS,Mississippi Balance of State CoC,MS-501,3304285,,,,,,
2015,MS,Gulf Port/Gulf Coast Regional CoC,MS-503,763991,,,,,,
2015,MT,Montana Statewide CoC,MT-500,2583192,,,,,,
2015,NC,Winston Salem/Forsyth County CoC,NC-500,1889617,,,,,,
2015,NC,Asheville/Buncombe County CoC,NC-501,1206824,,,,,,
2015,NC,Durham City & County CoC,NC-502,1322432,,,,,,
2015,NC,North Carolina Balance of State CoC,NC-503,7399611,,,,,,
2015,NC,Greensboro/High Point CoC,NC-504,1891697,,,,,,
2015,NC,Charlotte/Mecklenberg CoC,NC-505,3570229,,,,,,
2015,NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,671285,,,,,,
2015,NC,Raleigh/Wake County CoC,NC-507,3013496,,,,,,
2015,NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,0,,,,,,
2015,NC,Fayetteville/Cumberland County CoC,NC-511,698580,,,,,,
2015,NC,Chapel Hill/Orange County CoC,NC-513,625299,,,,,,
2015,NC,Northwest North Carolina CoC,NC-516,287951,,,,,,
2015,ND,North Dakota Statewide CoC,ND-500,2047642,,,,,,
2015,NE,Nebraska Balance of State CoC,NE-500,2023586,,,,,,
2015,NE,Omaha/Council Bluffs CoC,NE-501,4224258,,,,,,
2015,NE,Lincoln CoC,NE-502,2230675,,,,,,
2015,NH,New Hampshire Balance of State CoC,NH-500,3552510,,,,,,
2015,NH,Manchester CoC,NH-501,1537898,,,,,,
2015,NH,Nashua/Hillsborough County CoC,NH-502,1814588,,,,,,
2015,NJ,Atlantic City & County CoC,NJ-500,519206,,,,,,
2015,NJ,Bergen County CoC,NJ-501,4213917,,,,,,
2015,NJ,Burlington County CoC,NJ-502,514068,,,,,,
2015,NJ,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",NJ-503,3452067,,,,,,
2015,NJ,Newark/Essex County CoC,NJ-504,5738188,,,,,,
2015,NJ,Jersey City/Bayonne/Hudson County CoC,NJ-506,5243399,,,,,,
2015,NJ,New Brunswick/Middlesex County CoC,NJ-507,2407162,,,,,,
2015,NJ,Monmouth County CoC,NJ-508,3073031,,,,,,
2015,NJ,Morris County CoC,NJ-509,1756326,,,,,,
2015,NJ,Lakewood Township/Ocean County CoC,NJ-510,462780,,,,,,
2015,NJ,Paterson/Passaic County CoC,NJ-511,3745554,,,,,,
2015,NJ,Salem County CoC,NJ-512,0,,,,,,
2015,NJ,Somerset County CoC,NJ-513,397461,,,,,,
2015,NJ,Trenton/Mercer County CoC,NJ-514,3538791,,,,,,
2015,NJ,Elizabeth/Union County CoC,NJ-515,4467480,,,,,,
2015,NJ,"Warren, Sussex, Hunterdon Counties CoC   ",NJ-516,1222609,,,,,,
2015,NM,Albuquerque CoC,NM-500,5681370,,,,,,
2015,NM,New Mexico Balance of State CoC,NM-501,4611587,,,,,,
2015,NV,Las Vegas/Clark County CoC,NV-500,13469396,,,,,,
2015,NV,Reno/Sparks/Washoe County CoC,NV-501,1575244,,,,,,
2015,NV,Nevada Balance of State CoC,NV-502,610198,,,,,,
2015,NY,Rochester/Irondequoit/Greece/Monroe County CoC,NY-500,11127315,,,,,,
2015,NY,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC ",NY-501,0,,,,,,
2015,NY,Auburn/Cayuga County,NY-502,253290,,,,,,
2015,NY,Albany City & County CoC,NY-503,5040772,,,,,,
2015,NY,Cattaragus County CoC,NY-504,351754,,,,,,
2015,NY,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",NY-505,8296514,,,,,,
2015,NY,Schenectady City & County CoC,NY-507,3867818,,,,,,
2015,NY,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY-508,10873277,,,,,,
2015,NY,Ithaca/Tompkins County CoC,NY-510,211918,,,,,,
2015,NY,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",NY-511,1563384,,,,,,
2015,NY,Troy/Rensselaer County CoC,NY-512,3210595,,,,,,
